RUN	info.ragozin.loadlab.wp.simulations.RandomPostCommentClose	randompostcommentclose	1558943390150	 	3.1.2
USER	RandomPostCommentClose	30	START	1558943413925	1558943413925
REQUEST	30		/wp/v2/posts?{page} (GET)	1558943413927	1558943414102	OK	 
REQUEST	30		/wp/v2/posts?page/{id} (GET)	1558943414105	1558943414147	OK	 
REQUEST	30		/wp-json/wp/v2/comments (POST)	1558943414148	1558943414251	OK	 
USER	RandomPostCommentClose	30	END	1558943413925	1558943414251
USER	RandomPostCommentClose	31	START	1558943414252	1558943414252
REQUEST	31		/wp/v2/posts?{page} (GET)	1558943414253	1558943414604	OK	 
REQUEST	31		/wp/v2/posts?page/{id} (GET)	1558943414610	1558943414655	OK	 
REQUEST	31		/wp-json/wp/v2/comments (POST)	1558943414656	1558943414726	OK	 
USER	RandomPostCommentClose	31	END	1558943414252	1558943414727
USER	RandomPostCommentClose	32	START	1558943414727	1558943414727
REQUEST	32		/wp/v2/posts?{page} (GET)	1558943414728	1558943414943	OK	 
REQUEST	32		/wp/v2/posts?page/{id} (GET)	1558943414945	1558943415014	OK	 
REQUEST	32		/wp-json/wp/v2/comments (POST)	1558943415015	1558943415049	OK	 
USER	RandomPostCommentClose	32	END	1558943414727	1558943415050
USER	RandomPostCommentClose	33	START	1558943415050	1558943415050
REQUEST	33		/wp/v2/posts?{page} (GET)	1558943415051	1558943415304	OK	 
REQUEST	33		/wp/v2/posts?page/{id} (GET)	1558943415309	1558943415354	OK	 
REQUEST	33		/wp-json/wp/v2/comments (POST)	1558943415355	1558943415426	OK	 
USER	RandomPostCommentClose	33	END	1558943415050	1558943415427
USER	RandomPostCommentClose	34	START	1558943415427	1558943415427
REQUEST	34		/wp/v2/posts?{page} (GET)	1558943415428	1558943415550	OK	 
REQUEST	34		/wp/v2/posts?page/{id} (GET)	1558943415552	1558943415629	OK	 
REQUEST	34		/wp-json/wp/v2/comments (POST)	1558943415630	1558943415730	OK	 
USER	RandomPostCommentClose	34	END	1558943415427	1558943415731
USER	RandomPostCommentClose	35	START	1558943415731	1558943415731
REQUEST	35		/wp/v2/posts?{page} (GET)	1558943415732	1558943415956	OK	 
REQUEST	35		/wp/v2/posts?page/{id} (GET)	1558943415959	1558943416024	OK	 
REQUEST	35		/wp-json/wp/v2/comments (POST)	1558943416025	1558943416112	OK	 
USER	RandomPostCommentClose	35	END	1558943415731	1558943416113
USER	RandomPostCommentClose	36	START	1558943416113	1558943416113
REQUEST	36		/wp/v2/posts?{page} (GET)	1558943416116	1558943416241	OK	 
REQUEST	36		/wp/v2/posts?page/{id} (GET)	1558943416243	1558943416333	OK	 
REQUEST	36		/wp-json/wp/v2/comments (POST)	1558943416334	1558943416481	OK	 
USER	RandomPostCommentClose	36	END	1558943416113	1558943416482
USER	RandomPostCommentClose	37	START	1558943416482	1558943416482
REQUEST	37		/wp/v2/posts?{page} (GET)	1558943416486	1558943416704	OK	 
REQUEST	37		/wp/v2/posts?page/{id} (GET)	1558943416709	1558943416751	OK	 
REQUEST	37		/wp-json/wp/v2/comments (POST)	1558943416752	1558943416829	OK	 
USER	RandomPostCommentClose	37	END	1558943416482	1558943416830
USER	RandomPostCommentClose	38	START	1558943416830	1558943416830
REQUEST	38		/wp/v2/posts?{page} (GET)	1558943416832	1558943417102	OK	 
REQUEST	38		/wp/v2/posts?page/{id} (GET)	1558943417105	1558943417134	OK	 
REQUEST	38		/wp-json/wp/v2/comments (POST)	1558943417135	1558943417219	OK	 
USER	RandomPostCommentClose	38	END	1558943416830	1558943417220
USER	RandomPostCommentClose	39	START	1558943417221	1558943417221
REQUEST	39		/wp/v2/posts?{page} (GET)	1558943417223	1558943417503	OK	 
REQUEST	39		/wp/v2/posts?page/{id} (GET)	1558943417508	1558943417557	OK	 
REQUEST	39		/wp-json/wp/v2/comments (POST)	1558943417558	1558943417625	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 409
USER	RandomPostCommentClose	39	END	1558943417221	1558943417626
USER	RandomPostCommentClose	40	START	1558943417626	1558943417626
REQUEST	40		/wp/v2/posts?{page} (GET)	1558943417627	1558943417905	OK	 
REQUEST	40		/wp/v2/posts?page/{id} (GET)	1558943417910	1558943417953	OK	 
REQUEST	40		/wp-json/wp/v2/comments (POST)	1558943417953	1558943418022	OK	 
USER	RandomPostCommentClose	40	END	1558943417626	1558943418022
USER	RandomPostCommentClose	41	START	1558943418022	1558943418022
REQUEST	41		/wp/v2/posts?{page} (GET)	1558943418024	1558943418303	OK	 
REQUEST	41		/wp/v2/posts?page/{id} (GET)	1558943418305	1558943418331	OK	 
REQUEST	41		/wp-json/wp/v2/comments (POST)	1558943418332	1558943418414	OK	 
USER	RandomPostCommentClose	41	END	1558943418022	1558943418415
USER	RandomPostCommentClose	42	START	1558943418415	1558943418415
REQUEST	42		/wp/v2/posts?{page} (GET)	1558943418416	1558943418546	OK	 
REQUEST	42		/wp/v2/posts?page/{id} (GET)	1558943418547	1558943418637	OK	 
REQUEST	42		/wp-json/wp/v2/comments (POST)	1558943418638	1558943418712	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 409
USER	RandomPostCommentClose	42	END	1558943418415	1558943418713
USER	RandomPostCommentClose	43	START	1558943418713	1558943418713
REQUEST	43		/wp/v2/posts?{page} (GET)	1558943418714	1558943419004	OK	 
REQUEST	43		/wp/v2/posts?page/{id} (GET)	1558943419009	1558943419055	OK	 
REQUEST	43		/wp-json/wp/v2/comments (POST)	1558943419056	1558943419130	OK	 
USER	RandomPostCommentClose	43	END	1558943418713	1558943419131
USER	RandomPostCommentClose	44	START	1558943419131	1558943419131
REQUEST	44		/wp/v2/posts?{page} (GET)	1558943419132	1558943419407	OK	 
REQUEST	44		/wp/v2/posts?page/{id} (GET)	1558943419412	1558943419454	OK	 
REQUEST	44		/wp-json/wp/v2/comments (POST)	1558943419455	1558943419531	OK	 
USER	RandomPostCommentClose	44	END	1558943419131	1558943419532
USER	RandomPostCommentClose	45	START	1558943419532	1558943419532
REQUEST	45		/wp/v2/posts?{page} (GET)	1558943419534	1558943419801	OK	 
REQUEST	45		/wp/v2/posts?page/{id} (GET)	1558943419805	1558943419855	OK	 
REQUEST	45		/wp-json/wp/v2/comments (POST)	1558943419855	1558943419946	OK	 
USER	RandomPostCommentClose	45	END	1558943419532	1558943419946
USER	RandomPostCommentClose	46	START	1558943419947	1558943419947
REQUEST	46		/wp/v2/posts?{page} (GET)	1558943419948	1558943420151	OK	 
REQUEST	46		/wp/v2/posts?page/{id} (GET)	1558943420153	1558943420218	OK	 
REQUEST	46		/wp-json/wp/v2/comments (POST)	1558943420219	1558943420252	OK	 
